Target PDB,URL,Cluster ID,Cluster Ranking,HADDOCK score,Cluster size,RMSD from the overall lowest-energy structure,Van der Waals energy,Electrostatic energy,Desolvation energy,Restraints violation energy,Buried Surface Area,Z-Score,HADDOCK Result PDB Filename
myosin_binder_rabbit_250to350_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347039-myosin_binder_rabbit_250to350_hotspot_0,1,4,-13.6 +/- 2.5,17,10.8 +/- 0.1,-51.2 +/- 2.4,-127.3 +/- 15.2,12.2 +/- 1.8,509.1 +/- 43.0,1620.2 +/- 103.4,-0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_250to350_hotspot_0_cluster4.pdb
myosin_binder_rabbit_250to350_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347039-myosin_binder_rabbit_250to350_hotspot_0,11,5,-12.7 +/- 9.9,5,14.5 +/- 0.2,-44.9 +/- 3.6,-204.7 +/- 49.7,19.4 +/- 1.4,537.0 +/- 32.7,1594.5 +/- 74.0,0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_250to350_hotspot_0_cluster5.pdb
myosin_binder_rabbit_300to400_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347040-myosin_binder_rabbit_300to400_hotspot_0,2,0,-58.2 +/- 5.8,25,0.8 +/- 0.5,-57.3 +/- 5.2,-329.6 +/- 54.5,6.3 +/- 4.0,586.3 +/- 62.6,1690.5 +/- 80.4,-2.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_300to400_hotspot_0_cluster0.pdb
myosin_binder_rabbit_300to400_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347040-myosin_binder_rabbit_300to400_hotspot_0,1,1,-45.0 +/- 4.1,35,8.9 +/- 0.0,-56.6 +/- 8.9,-268.2 +/- 32.0,0.1 +/- 1.5,651.2 +/- 48.4,1643.4 +/- 71.1,-1.4,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_300to400_hotspot_0_cluster1.pdb
myosin_binder_rabbit_300to400_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347040-myosin_binder_rabbit_300to400_hotspot_0,3,2,-28.7 +/- 3.0,23,13.6 +/- 0.4,-58.0 +/- 3.3,-213.4 +/- 39.8,0.8 +/- 4.3,712.2 +/- 44.8,1623.0 +/- 75.6,-0.3,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_300to400_hotspot_0_cluster2.pdb
myosin_binder_rabbit_300to400_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347040-myosin_binder_rabbit_300to400_hotspot_0,11,3,-21.8 +/- 18.0,4,9.1 +/- 0.1,-48.3 +/- 3.0,-218.2 +/- 54.0,5.5 +/- 3.9,646.4 +/- 136.5,1622.2 +/- 83.1,0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_300to400_hotspot_0_cluster3.pdb
myosin_binder_rabbit_300to400_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347040-myosin_binder_rabbit_300to400_hotspot_0,7,4,-18.9 +/- 11.7,8,5.0 +/- 0.3,-42.0 +/- 5.9,-264.0 +/- 76.0,3.0 +/- 7.7,729.1 +/- 75.0,1429.6 +/- 176.0,0.3,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_300to400_hotspot_0_cluster4.pdb
myosin_binder_rabbit_300to400_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347040-myosin_binder_rabbit_300to400_hotspot_0,4,5,-17.6 +/- 3.8,19,15.9 +/- 0.4,-51.1 +/- 2.1,-189.5 +/- 11.7,3.6 +/- 2.7,677.6 +/- 56.2,1556.7 +/- 88.6,0.4,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_300to400_hotspot_0_cluster5.pdb
myosin_binder_rabbit_350to450_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347041-myosin_binder_rabbit_350to450_hotspot_0,10,0,-23.7 +/- 7.3,6,9.9 +/- 0.2,-34.9 +/- 7.9,-303.8 +/- 26.2,12.2 +/- 3.2,597.7 +/- 26.6,1586.7 +/- 114.7,-1.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_350to450_hotspot_0_cluster0.pdb
myosin_binder_rabbit_350to450_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347041-myosin_binder_rabbit_350to450_hotspot_0,8,1,-23.3 +/- 9.9,8,10.5 +/- 0.1,-33.9 +/- 3.2,-269.6 +/- 34.8,9.2 +/- 2.9,553.4 +/- 63.1,1529.2 +/- 86.2,-1.4,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_350to450_hotspot_0_cluster1.pdb
myosin_binder_rabbit_350to450_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347041-myosin_binder_rabbit_350to450_hotspot_0,7,2,-18.9 +/- 5.5,8,14.2 +/- 0.5,-39.0 +/- 10.2,-268.9 +/- 46.3,14.1 +/- 2.6,597.2 +/- 46.7,1660.8 +/- 147.8,-0.7,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_350to450_hotspot_0_cluster2.pdb
myosin_binder_rabbit_350to450_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347041-myosin_binder_rabbit_350to450_hotspot_0,1,3,-18.5 +/- 7.2,21,16.0 +/- 0.2,-41.0 +/- 6.2,-251.1 +/- 26.0,7.3 +/- 3.4,653.2 +/- 52.9,1497.1 +/- 133.7,-0.6,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_350to450_hotspot_0_cluster3.pdb
myosin_binder_rabbit_350to450_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347041-myosin_binder_rabbit_350to450_hotspot_0,3,4,-16.5 +/- 3.6,11,16.2 +/- 0.1,-46.3 +/- 2.1,-206.6 +/- 33.3,4.6 +/- 4.0,665.0 +/- 64.9,1531.1 +/- 75.6,-0.3,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_350to450_hotspot_0_cluster4.pdb
myosin_binder_rabbit_350to450_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347041-myosin_binder_rabbit_350to450_hotspot_0,2,5,-11.8 +/- 4.9,11,13.3 +/- 0.1,-38.1 +/- 5.1,-202.9 +/- 18.2,4.3 +/- 2.4,626.1 +/- 67.6,1554.3 +/- 57.4,0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_350to450_hotspot_0_cluster5.pdb
myosin_binder_rabbit_400to500_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347042-myosin_binder_rabbit_400to500_hotspot_0,3,0,-26.6 +/- 12.1,11,0.5 +/- 0.3,-48.7 +/- 4.4,-232.6 +/- 40.5,5.1 +/- 2.5,634.6 +/- 99.4,1705.0 +/- 68.1,-1.3,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_400to500_hotspot_0_cluster0.pdb
myosin_binder_rabbit_400to500_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347042-myosin_binder_rabbit_400to500_hotspot_0,4,1,-24.4 +/- 5.4,10,8.4 +/- 0.0,-51.0 +/- 3.3,-201.3 +/- 46.1,4.8 +/- 3.9,619.9 +/- 51.2,1660.1 +/- 22.5,-1.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_400to500_hotspot_0_cluster1.pdb
myosin_binder_rabbit_400to500_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347042-myosin_binder_rabbit_400to500_hotspot_0,1,2,-24.2 +/- 5.7,34,13.8 +/- 0.0,-53.9 +/- 4.3,-219.9 +/- 21.5,6.0 +/- 2.0,676.9 +/- 25.7,1625.5 +/- 38.8,-1.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_400to500_hotspot_0_cluster2.pdb
myosin_binder_rabbit_400to500_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347042-myosin_binder_rabbit_400to500_hotspot_0,2,3,-23.0 +/- 3.1,34,15.9 +/- 0.1,-45.1 +/- 5.8,-195.4 +/- 57.2,6.8 +/- 4.1,544.2 +/- 33.0,1604.1 +/- 69.2,-0.8,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_400to500_hotspot_0_cluster3.pdb
myosin_binder_rabbit_400to500_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347042-myosin_binder_rabbit_400to500_hotspot_0,13,4,-20.7 +/- 6.6,4,9.5 +/- 0.1,-50.2 +/- 2.4,-135.6 +/- 33.5,6.4 +/- 1.7,501.4 +/- 31.2,1662.8 +/- 96.5,-0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_400to500_hotspot_0_cluster4.pdb
myosin_binder_rabbit_400to500_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347042-myosin_binder_rabbit_400to500_hotspot_0,5,5,-12.6 +/- 4.8,9,9.4 +/- 0.1,-47.6 +/- 3.0,-187.9 +/- 47.2,1.6 +/- 2.7,709.4 +/- 37.2,1529.5 +/- 50.9,0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_400to500_hotspot_0_cluster5.pdb
myosin_binder_rabbit_450to550_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347043-myosin_binder_rabbit_450to550_hotspot_0,6,0,-32.5 +/- 5.0,11,0.3 +/- 0.2,-59.2 +/- 4.9,-169.2 +/- 34.4,-0.0 +/- 1.7,606.7 +/- 40.7,1748.8 +/- 15.3,-2.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_450to550_hotspot_0_cluster0.pdb
myosin_binder_rabbit_450to550_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347043-myosin_binder_rabbit_450to550_hotspot_0,1,1,-25.1 +/- 2.8,24,9.3 +/- 0.0,-53.8 +/- 5.8,-168.2 +/- 13.1,0.4 +/- 1.5,619.0 +/- 56.0,1745.3 +/- 49.5,-1.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_450to550_hotspot_0_cluster1.pdb
myosin_binder_rabbit_450to550_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347043-myosin_binder_rabbit_450to550_hotspot_0,11,2,-21.7 +/- 5.9,6,13.2 +/- 0.2,-37.5 +/- 1.6,-254.1 +/- 26.0,4.2 +/- 1.9,624.4 +/- 63.7,1654.2 +/- 20.7,-0.6,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_450to550_hotspot_0_cluster2.pdb
myosin_binder_rabbit_450to550_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347043-myosin_binder_rabbit_450to550_hotspot_0,9,3,-18.1 +/- 4.2,7,10.1 +/- 0.0,-50.1 +/- 2.1,-167.4 +/- 21.1,1.7 +/- 3.0,637.3 +/- 26.6,1588.0 +/- 21.4,-0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_450to550_hotspot_0_cluster3.pdb
myosin_binder_rabbit_450to550_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347043-myosin_binder_rabbit_450to550_hotspot_0,3,4,-15.5 +/- 5.8,16,10.0 +/- 0.2,-45.6 +/- 4.6,-167.7 +/- 37.9,2.4 +/- 5.3,612.2 +/- 71.6,1606.2 +/- 20.6,0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_450to550_hotspot_0_cluster4.pdb
myosin_binder_rabbit_450to550_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347043-myosin_binder_rabbit_450to550_hotspot_0,16,5,-15.4 +/- 7.7,4,15.9 +/- 0.0,-50.3 +/- 3.7,-187.6 +/- 30.9,6.1 +/- 2.8,664.1 +/- 23.4,1546.0 +/- 38.7,0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_450to550_hotspot_0_cluster5.pdb
myosin_binder_rabbit_500to600_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347044-myosin_binder_rabbit_500to600_hotspot_0,7,0,-38.9 +/- 3.2,9,8.6 +/- 0.2,-39.4 +/- 3.5,-302.0 +/- 53.2,3.9 +/- 4.6,570.0 +/- 35.0,1725.8 +/- 52.9,-1.9,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_500to600_hotspot_0_cluster0.pdb
myosin_binder_rabbit_500to600_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347044-myosin_binder_rabbit_500to600_hotspot_0,12,1,-37.9 +/- 10.0,6,1.5 +/- 1.3,-41.4 +/- 3.2,-318.1 +/- 46.4,3.9 +/- 2.6,632.0 +/- 50.4,1788.7 +/- 62.0,-1.7,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_500to600_hotspot_0_cluster1.pdb
myosin_binder_rabbit_500to600_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347044-myosin_binder_rabbit_500to600_hotspot_0,2,2,-29.3 +/- 13.6,25,5.1 +/- 1.9,-41.2 +/- 5.5,-240.7 +/- 55.2,1.2 +/- 3.1,588.1 +/- 51.3,1450.3 +/- 106.3,-0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_500to600_hotspot_0_cluster2.pdb
myosin_binder_rabbit_500to600_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347044-myosin_binder_rabbit_500to600_hotspot_0,8,3,-25.1 +/- 3.0,7,7.2 +/- 0.3,-29.6 +/- 1.6,-277.8 +/- 13.2,1.0 +/- 1.6,590.9 +/- 41.9,1421.1 +/- 54.2,0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_500to600_hotspot_0_cluster3.pdb
myosin_binder_rabbit_500to600_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347044-myosin_binder_rabbit_500to600_hotspot_0,3,4,-24.6 +/- 4.5,14,11.0 +/- 0.3,-33.6 +/- 2.3,-306.3 +/- 37.5,2.5 +/- 1.5,677.4 +/- 47.0,1519.8 +/- 80.2,0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_500to600_hotspot_0_cluster4.pdb
myosin_binder_rabbit_500to600_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347044-myosin_binder_rabbit_500to600_hotspot_0,6,5,-24.6 +/- 1.9,10,2.5 +/- 0.3,-39.4 +/- 7.0,-280.0 +/- 26.1,2.5 +/- 3.4,683.2 +/- 79.4,1540.0 +/- 57.6,0.3,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_500to600_hotspot_0_cluster5.pdb
myosin_binder_rabbit_550to650_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347045-myosin_binder_rabbit_550to650_hotspot_0,1,0,-41.3 +/- 3.2,46,1.1 +/- 0.7,-56.1 +/- 8.9,-187.4 +/- 31.0,2.3 +/- 2.0,500.4 +/- 31.4,1778.0 +/- 78.8,-1.8,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_550to650_hotspot_0_cluster0.pdb
myosin_binder_rabbit_550to650_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347045-myosin_binder_rabbit_550to650_hotspot_0,4,1,-32.0 +/- 1.3,19,14.8 +/- 0.1,-47.1 +/- 3.7,-254.6 +/- 63.0,11.9 +/- 1.5,542.2 +/- 88.4,1712.9 +/- 62.1,-1.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_550to650_hotspot_0_cluster1.pdb
myosin_binder_rabbit_550to650_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347045-myosin_binder_rabbit_550to650_hotspot_0,8,2,-26.4 +/- 9.5,5,8.8 +/- 0.1,-57.9 +/- 2.9,-149.8 +/- 26.7,-0.4 +/- 2.8,618.4 +/- 102.1,1670.1 +/- 62.3,-0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_550to650_hotspot_0_cluster2.pdb
myosin_binder_rabbit_550to650_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347045-myosin_binder_rabbit_550to650_hotspot_0,2,3,-25.6 +/- 5.7,30,16.5 +/- 0.2,-41.3 +/- 3.6,-263.7 +/- 44.7,10.7 +/- 4.8,576.4 +/- 77.4,1638.3 +/- 64.4,-0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_550to650_hotspot_0_cluster3.pdb
myosin_binder_rabbit_550to650_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347045-myosin_binder_rabbit_550to650_hotspot_0,3,4,-24.1 +/- 1.9,25,8.6 +/- 0.1,-47.5 +/- 2.1,-175.3 +/- 8.6,1.9 +/- 1.2,566.1 +/- 39.9,1700.6 +/- 64.0,-0.3,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_550to650_hotspot_0_cluster4.pdb
myosin_binder_rabbit_550to650_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347045-myosin_binder_rabbit_550to650_hotspot_0,5,5,-20.1 +/- 8.8,8,14.3 +/- 0.0,-54.0 +/- 4.8,-143.1 +/- 10.6,4.0 +/- 3.2,584.8 +/- 119.6,1566.6 +/- 107.5,0.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_550to650_hotspot_0_cluster5.pdb
myosin_binder_rabbit_600to700_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347046-myosin_binder_rabbit_600to700_hotspot_0,3,0,-51.6 +/- 8.7,14,1.1 +/- 1.0,-54.7 +/- 2.5,-236.2 +/- 47.4,2.7 +/- 2.2,477.3 +/- 39.4,1753.7 +/- 126.6,-2.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_600to700_hotspot_0_cluster0.pdb
myosin_binder_rabbit_600to700_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347046-myosin_binder_rabbit_600to700_hotspot_0,6,1,-39.5 +/- 3.4,8,8.3 +/- 0.0,-47.2 +/- 4.5,-301.7 +/- 12.9,9.1 +/- 2.3,590.0 +/- 30.4,1775.9 +/- 39.9,-0.8,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_600to700_hotspot_0_cluster1.pdb
myosin_binder_rabbit_600to700_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347046-myosin_binder_rabbit_600to700_hotspot_0,8,2,-39.1 +/- 14.3,8,5.6 +/- 0.5,-44.7 +/- 9.5,-259.2 +/- 55.3,1.8 +/- 1.7,557.1 +/- 99.7,1450.4 +/- 98.4,-0.8,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_600to700_hotspot_0_cluster2.pdb
myosin_binder_rabbit_600to700_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347046-myosin_binder_rabbit_600to700_hotspot_0,7,3,-33.6 +/- 8.3,8,9.4 +/- 0.2,-53.2 +/- 5.1,-216.8 +/- 6.0,3.3 +/- 1.2,597.1 +/- 64.8,1631.7 +/- 23.0,-0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_600to700_hotspot_0_cluster3.pdb
myosin_binder_rabbit_600to700_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347046-myosin_binder_rabbit_600to700_hotspot_0,11,4,-30.9 +/- 20.7,4,15.5 +/- 0.1,-40.0 +/- 12.8,-242.9 +/- 47.9,3.2 +/- 5.3,544.9 +/- 82.5,1746.2 +/- 74.6,0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_600to700_hotspot_0_cluster4.pdb
myosin_binder_rabbit_600to700_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347046-myosin_binder_rabbit_600to700_hotspot_0,1,5,-29.2 +/- 5.4,27,13.7 +/- 0.3,-43.5 +/- 5.2,-216.7 +/- 74.1,-4.7 +/- 2.2,622.8 +/- 92.8,1503.2 +/- 30.7,0.4,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_600to700_hotspot_0_cluster5.pdb
myosin_binder_rabbit_650to750_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347047-myosin_binder_rabbit_650to750_hotspot_0,1,0,-80.7 +/- 4.9,17,0.7 +/- 0.6,-61.9 +/- 3.6,-449.0 +/- 55.6,13.7 +/- 5.7,572.5 +/- 108.2,2077.3 +/- 139.5,-1.8,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_650to750_hotspot_0_cluster0.pdb
myosin_binder_rabbit_650to750_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347047-myosin_binder_rabbit_650to750_hotspot_0,2,1,-74.4 +/- 1.6,16,8.8 +/- 0.1,-61.5 +/- 5.3,-428.9 +/- 27.2,9.6 +/- 3.4,632.0 +/- 48.8,1996.3 +/- 33.6,-1.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_650to750_hotspot_0_cluster1.pdb
myosin_binder_rabbit_650to750_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347047-myosin_binder_rabbit_650to750_hotspot_0,3,2,-60.0 +/- 3.8,15,13.5 +/- 0.8,-44.9 +/- 7.4,-445.8 +/- 79.2,5.9 +/- 2.8,681.7 +/- 62.4,1890.8 +/- 82.2,-0.7,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_650to750_hotspot_0_cluster2.pdb
myosin_binder_rabbit_650to750_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347047-myosin_binder_rabbit_650to750_hotspot_0,4,3,-56.6 +/- 10.7,12,10.8 +/- 0.5,-45.0 +/- 3.3,-419.7 +/- 55.9,2.7 +/- 3.1,696.0 +/- 42.2,1914.6 +/- 51.0,-0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_650to750_hotspot_0_cluster3.pdb
myosin_binder_rabbit_650to750_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347047-myosin_binder_rabbit_650to750_hotspot_0,7,4,-38.8 +/- 10.7,9,13.0 +/- 0.6,-61.0 +/- 4.9,-157.4 +/- 16.0,-6.7 +/- 2.4,604.1 +/- 47.8,1796.4 +/- 58.6,0.4,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_650to750_hotspot_0_cluster4.pdb
myosin_binder_rabbit_650to750_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347047-myosin_binder_rabbit_650to750_hotspot_0,9,5,-38.4 +/- 4.4,8,12.8 +/- 0.7,-33.2 +/- 2.9,-348.4 +/- 33.4,12.2 +/- 4.5,522.4 +/- 39.0,1675.9 +/- 59.5,0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_650to750_hotspot_0_cluster5.pdb
myosin_binder_rabbit_700to800_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347048-myosin_binder_rabbit_700to800_hotspot_0,2,0,-33.8 +/- 4.8,16,14.0 +/- 0.1,-46.9 +/- 4.8,-278.1 +/- 27.9,12.2 +/- 3.5,563.8 +/- 77.0,1691.1 +/- 93.8,-1.9,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_700to800_hotspot_0_cluster0.pdb
myosin_binder_rabbit_700to800_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/347048-myosin_binder_rabbit_700to800_hotspot_0,18,1,-30.7 +/- 4.4,4,16.2 +/- 0.1,-46.5 +/- 4.8,-289.3 +/- 10.0,15.0 +/- 2.5,586.3 +/- 71.6,1638.4 +/- 66.3,-1.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_rabbit_700to800_hotspot_0_cluster1.pdb
